loxcode, binary pedigree, fate path
-13 -12 1 2 -5 -4 -3,0 1 1 0 0 0 0 1 ,0 
1,1 1 1 1 0 0 0 0 0 ,0 
-5 -4 7 -12 -11 -10 -9 -8 13,1 1 0 1 1 0 1 1 0 ,0 
1 4 5 6 7 8 9 10 3 2 -11 12 13,1 1 1 1 0 0 0 0 ,0 
1 2 13,1 0 1 1 0 1 0 0 ,0 
13,0 1 1 1 0 0 0 1 1 1 ,0 
1,1 1 1 0 0 1 1 1 1 ,0 
1 2 -5 12 13,1 0 0 1 1 0 1 1 0 ,0 
13,1 0 0 1 1 0 0 1 0 ,0 
1 2 9,1 1 1 1 0 0 1 1 0 ,0 
13,1 1 0 1 1 1 0 0 1 ,0 
1 2 3,1 0 1 0 0 1 1 1 0 ,0 
13,0 0 1 1 0 0 1 1 0 1 ,0 
-3 -6 -5 8 9 10 -13 -12 -11,1 1 1 1 0 1 1 1 1 ,0 
5 10 11 12 13,0 1 0 1 0 0 0 1 1 ,0 
13 6 7 8 9 -4 -3 -2 -1 -12 -11 -10 5,0 0 1 0 0 0 0 0 1 ,0 
1 -12 -5 -4 -3 -2 13,1 0 1 0 0 0 0 0 1 ,0 
-3 -4 1 2 5,0 1 1 1 0 1 1 0 1 0 ,0 
1 2 -13 -12 -11 -10 -9,1 1 1 1 0 1 1 0 1 0 ,0 
13,1 1 1 1 1 1 0 0 0 ,0 
1 2 3 4 13,0 0 0 1 1 0 1 0 1 0 ,0 
1 2 11 12 9 10 3 8 13,0 0 1 1 1 1 1 0 1 ,0 
1 -12 -11 6 9 10 -7 -8 -5 -4 -3 -2 13,0 0 0 0 1 0 1 0 1 0 ,0 
1 12 13 -4 -3 -2 -5,1 1 0 0 1 1 0 0 0 ,0 
1 2 3 4 -13 -12 -11 -10 -9 -8 -7 -6 -5,1 1 0 1 0 0 1 0 1 0 ,0 
1 -12 -11 -10 -9 -8 -7 -6 13,0 0 1 0 1 1 0 0 1 1 ,0 
13,0 1 1 0 1 0 1 0 1 ,0 
-3 -2 -13 -12 -11 -10 -9,0 0 0 1 1 1 1 0 1 0 ,0 
-1 10 11 2 3 4 -13 -12 -9 -8 -7 -6 -5,0 1 0 1 1 1 0 0 ,0 
1 6 -13 -12 -11,1 1 0 1 1 1 0 0 ,0 
-3 -2 -1 4 -11 -10 -13 -12 9,0 0 1 1 0 1 1 0 0 ,0 
13,1 0 1 1 0 1 1 0 0 ,0 
1,1 1 0 1 1 1 0 1 0 ,0 
1 6 5 10 13,1 0 1 1 1 0 0 0 1 ,0 
1 -12 -13 8 -11 -10 -9,0 0 0 1 0 0 1 1 0 1 ,0 
-11 -4 7 8 9 10 3 -6 -5,1 1 1 1 1 1 0 0 ,0 
-9 -2 -1 10 11 12 13,0 1 0 1 1 1 1 1 0 ,0 
13,1 1 0 1 1 1 1 1 0 ,0 
-13 10 3 12 -9 -2 -1,1 0 1 1 0 1 1 1 1 ,0 
11 12 13,0 0 0 1 0 1 1 1 1 0 ,0 
13,0 0 1 1 0 0 1 0 1 ,0 
11 12 13,0 1 0 1 1 1 0 0 1 1 ,0 
-5 2 3 4 13,1 1 0 1 1 1 0 0 1 1 ,0 
1 2 -7 -6 -5 -4 -3 12 13,0 0 0 1 0 0 1 0 1 ,0 
7 8 13,1 0 0 1 0 0 1 0 1 ,0 
1 2 3 12 13,1 1 0 0 0 1 0 1 1 0 ,0 
11 12 13,0 0 0 1 0 1 1 1 1 ,0 
1 2 3,0 1 1 0 0 0 0 0 1 ,0 
1 -6 13,1 1 1 0 0 0 0 0 1 ,0 
1,0 1 1 1 0 0 1 0 0 1 ,0 
1 12 13,0 0 1 0 1 0 0 0 1 ,0 
1,1 0 1 0 1 0 0 0 1 ,0 
-3 -4 -13 -6 1 2 5,0 0 1 0 1 0 1 0 1 ,0 
13,0 0 0 0 1 1 0 0 0 ,0 
1 2 3 4 5 10 11 12 13,0 1 1 0 0 0 0 0 1 0 ,0 
1,1 1 1 0 0 0 0 0 1 0 ,0 
1 2 -13 8 9 10 11 12 -7 -6 3 4 5,0 1 0 1 0 1 1 0 1 0 ,0 
