,L foot,L leg,R foot,blood,R brain III,R leg,L hand,R hand,L brain I,L arm,R gonad,R brain I,R kidney,L brain III,L gonad,R arm,L kidney
L foot,1.0,0.7515004911,0.6795399767,0.0099008424,0.2239207608,0.541948905,0.4117277001,0.41227128,0.218373204,0.3591801572,0.2881596451,0.2206480165,0.4932649039,0.2609253754,0.2440248823,0.5100150115,0.473686663
L leg,0.7515004911,1.0,0.6542506912,0.0101348968,0.2215550382,0.4886598676,0.4582652961,0.3751374144,0.2165803134,0.3679559469,0.3405082997,0.2262607425,0.4657426832,0.2581461573,0.2961270697,0.4881707565,0.4416611447
R foot,0.6795399767,0.6542506912,1.0,0.0076173601,0.2312479539,0.7529206681,0.4632959475,0.3871406697,0.2298752414,0.3761581156,0.3270762297,0.2416785356,0.4181354996,0.2610585258,0.3221297204,0.4947413759,0.3907058578
blood,0.0099008424,0.0101348968,0.0076173601,1.0,0.033934325,0.0080264818,0.0070959822,0.0069211489,0.0256940354,0.0067254847,0.0053787189,0.0205517157,0.0080009361,0.0354317261,0.0063303365,0.007498391,0.0080056509
R brain III,0.2239207608,0.2215550382,0.2312479539,0.033934325,1.0,0.1947484704,0.2142860985,0.1100688075,0.5486378454,0.1518180675,0.1103128592,0.4375574041,0.1700368716,0.6953499998,0.1462383937,0.1946015757,0.1365722968
R leg,0.541948905,0.4886598676,0.7529206681,0.0080264818,0.1947484704,1.0,0.3899128673,0.2881573641,0.1604900895,0.3334411174,0.2303607987,0.1688033033,0.4300977537,0.2309756044,0.3104114958,0.3956961834,0.3666149873
L hand,0.4117277001,0.4582652961,0.4632959475,0.0070959822,0.2142860985,0.3899128673,1.0,0.3841045393,0.1438066547,0.7329650179,0.3087998973,0.2135000177,0.3129880336,0.183824904,0.3318290067,0.5325936491,0.3489126958
R hand,0.41227128,0.3751374144,0.3871406697,0.0069211489,0.1100688075,0.2881573641,0.3841045393,1.0,0.1308141395,0.3869724279,0.2746003474,0.1577959165,0.2235161052,0.1471015491,0.3508683245,0.5998627709,0.3134986428
L brain I,0.218373204,0.2165803134,0.2298752414,0.0256940354,0.5486378454,0.1604900895,0.1438066547,0.1308141395,1.0,0.1168846071,0.1254096365,0.4971982586,0.178654116,0.4379592058,0.1622668158,0.1900744717,0.1385492817
L arm,0.3591801572,0.3679559469,0.3761581156,0.0067254847,0.1518180675,0.3334411174,0.7329650179,0.3869724279,0.1168846071,1.0,0.254457401,0.1723641066,0.3147101703,0.1521742482,0.3083273947,0.5011133233,0.3307589985
R gonad,0.2881596451,0.3405082997,0.3270762297,0.0053787189,0.1103128592,0.2303607987,0.3087998973,0.2746003474,0.1254096365,0.254457401,1.0,0.1396711001,0.2939362958,0.1752330525,0.4754105884,0.2941945845,0.3811354704
R brain I,0.2206480165,0.2262607425,0.2416785356,0.0205517157,0.4375574041,0.1688033033,0.2135000177,0.1577959165,0.4971982586,0.1723641066,0.1396711001,1.0,0.1878074946,0.4970685453,0.1661134438,0.2217147009,0.1585374336
R kidney,0.4932649039,0.4657426832,0.4181354996,0.0080009361,0.1700368716,0.4300977537,0.3129880336,0.2235161052,0.178654116,0.3147101703,0.2939362958,0.1878074946,1.0,0.235849063,0.3027504364,0.4100774017,0.546288929
L brain III,0.2609253754,0.2581461573,0.2610585258,0.0354317261,0.6953499998,0.2309756044,0.183824904,0.1471015491,0.4379592058,0.1521742482,0.1752330525,0.4970685453,0.235849063,1.0,0.1864105625,0.2176946194,0.1690850056
L gonad,0.2440248823,0.2961270697,0.3221297204,0.0063303365,0.1462383937,0.3104114958,0.3318290067,0.3508683245,0.1622668158,0.3083273947,0.4754105884,0.1661134438,0.3027504364,0.1864105625,1.0,0.3390495801,0.3693209747
R arm,0.5100150115,0.4881707565,0.4947413759,0.007498391,0.1946015757,0.3956961834,0.5325936491,0.5998627709,0.1900744717,0.5011133233,0.2941945845,0.2217147009,0.4100774017,0.2176946194,0.3390495801,1.0,0.4404645852
L kidney,0.473686663,0.4416611447,0.3907058578,0.0080056509,0.1365722968,0.3666149873,0.3489126958,0.3134986428,0.1385492817,0.3307589985,0.3811354704,0.1585374336,0.546288929,0.1690850056,0.3693209747,0.4404645852,1.0
