,L foot,L leg,R foot,blood,R brain III,R leg,L hand,R hand,L brain I,L arm,R gonad,R brain I,R kidney,L brain III,L gonad,R arm,L kidney
L foot,0.9999999999999999,0.7540729650988279,0.6165969320391262,0.009505648649494743,0.231359960716442,0.5597606361567284,0.44909372296125666,0.4291623619727394,0.21721508141474388,0.4531879207063423,0.31644298789828873,0.20695616849718584,0.3954361392330912,0.2247563982769184,0.3386228045267768,0.47632925092365785,0.38480040201297483
L leg,0.7540729650988279,1.0000000000000002,0.6298652190060763,0.009770670024422798,0.23706341637412603,0.5582792030798949,0.4534016720658183,0.4383930661944117,0.2208135349542256,0.4599412994114101,0.3291281121589467,0.21065118478045777,0.4032878712463759,0.22978708566643077,0.34348819715713397,0.4856097834505497,0.3960711735734876
R foot,0.6165969320391262,0.6298652190060763,1.0,0.01083403279627784,0.25036872284731904,0.7716506422420744,0.4817838334041167,0.4700091209455159,0.23382387612025218,0.48934064216615947,0.3418487446620226,0.22993327015640014,0.43579347695599835,0.24885278707171918,0.3709736456298099,0.5276650845494417,0.42608451327707425
blood,0.009505648649494743,0.009770670024422798,0.01083403279627784,1.0,0.03210576085439208,0.009751330729838425,0.008721096035109574,0.008324076867887895,0.022342485917330755,0.008749740179634506,0.006745620623391173,0.021014852544262514,0.00909971086271519,0.03475580809679839,0.0071499906309965885,0.009739108044364623,0.008891134814323224
R brain III,0.231359960716442,0.23706341637412603,0.25036872284731904,0.03210576085439208,1.0000000000000002,0.22562071569537315,0.20195237503838856,0.19510890276722512,0.47633998568315067,0.20267029787548843,0.1632114682445501,0.4259682921780797,0.2041042246923946,0.6815980981032367,0.17225476311949095,0.22073289483320016,0.19420413427689132
R leg,0.5597606361567284,0.5582792030798949,0.7716506422420744,0.009751330729838425,0.22562071569537315,1.0000000000000002,0.43536622203590586,0.42149389543288673,0.21155889435135458,0.4446051825961651,0.3039483032961063,0.20691650112566554,0.3897022831898333,0.22378207389743116,0.3384237583853023,0.4706833149726232,0.3773367856421949
L hand,0.44909372296125666,0.4534016720658183,0.4817838334041167,0.008721096035109574,0.20195237503838856,0.43536622203590586,0.9999999999999999,0.4418556327844214,0.1918934563398391,0.7589148054832436,0.2858081159820631,0.18571276747546345,0.35510817690789126,0.19801329698739265,0.3049975253325118,0.492179766206106,0.3422600236386947
R hand,0.4291623619727394,0.4383930661944117,0.4700091209455159,0.008324076867887895,0.19510890276722512,0.42149389543288673,0.4418556327844214,1.0,0.1870652871721842,0.4491612819395991,0.2772537090199359,0.1791104660021699,0.33865359880292506,0.19314430526110854,0.29851462781742083,0.5765569604887613,0.34182978759151744
L brain I,0.21721508141474388,0.2208135349542256,0.23382387612025218,0.022342485917330755,0.47633998568315067,0.21155889435135458,0.1918934563398391,0.1870652871721842,0.9999999999999999,0.19356693145037346,0.15553161347321223,0.4836933241851156,0.19883849738271003,0.46334558933902675,0.1614221990456232,0.21284088508786903,0.1879890721497607
L arm,0.4531879207063423,0.4599412994114101,0.48934064216615947,0.008749740179634506,0.20267029787548843,0.4446051825961651,0.7589148054832436,0.4491612819395991,0.19356693145037346,1.0000000000000002,0.2955381080818088,0.19284905856838003,0.36526738096090616,0.19948761594737857,0.3098548908795786,0.5049567285069834,0.3505259544774331
R gonad,0.31644298789828873,0.3291281121589467,0.3418487446620226,0.006745620623391173,0.1632114682445501,0.3039483032961063,0.2858081159820631,0.2772537090199359,0.15553161347321223,0.2955381080818088,1.0000000000000002,0.15532972355518787,0.3588772971877515,0.16469945965201369,0.4251814155322921,0.3120376385306188,0.35065490057682186
R brain I,0.20695616849718584,0.21065118478045777,0.22993327015640014,0.021014852544262514,0.4259682921780797,0.20691650112566554,0.18571276747546345,0.1791104660021699,0.4836933241851156,0.19284905856838003,0.15532972355518787,0.9999999999999999,0.19289111765165967,0.43270646336805985,0.16011811441562251,0.20313121132338316,0.18330662246755047
R kidney,0.3954361392330912,0.4032878712463759,0.43579347695599835,0.00909971086271519,0.2041042246923946,0.3897022831898333,0.35510817690789126,0.33865359880292506,0.19883849738271003,0.36526738096090616,0.3588772971877515,0.19289111765165967,1.0,0.20659899616545202,0.38402535350041517,0.3920485408228657,0.5428337927979169
L brain III,0.2247563982769184,0.22978708566643077,0.24885278707171918,0.03475580809679839,0.6815980981032367,0.22378207389743116,0.19801329698739265,0.19314430526110854,0.46334558933902675,0.19948761594737857,0.16469945965201369,0.43270646336805985,0.20659899616545202,1.0000000000000002,0.16963417254576396,0.22211927142292787,0.19747807224519368
L gonad,0.3386228045267768,0.34348819715713397,0.3709736456298099,0.0071499906309965885,0.17225476311949095,0.3384237583853023,0.3049975253325118,0.29851462781742083,0.1614221990456232,0.3098548908795786,0.4251814155322921,0.16011811441562251,0.38402535350041517,0.16963417254576396,1.0,0.33054467505403085,0.3700776694810564
R arm,0.47632925092365785,0.4856097834505497,0.5276650845494417,0.009739108044364623,0.22073289483320016,0.4706833149726232,0.492179766206106,0.5765569604887613,0.21284088508786903,0.5049567285069834,0.3120376385306188,0.20313121132338316,0.3920485408228657,0.22211927142292787,0.33054467505403085,1.0,0.36960958285844314
L kidney,0.38480040201297483,0.3960711735734876,0.42608451327707425,0.008891134814323224,0.19420413427689132,0.3773367856421949,0.3422600236386947,0.34182978759151744,0.1879890721497607,0.3505259544774331,0.35065490057682186,0.18330662246755047,0.5428337927979169,0.19747807224519368,0.3700776694810564,0.36960958285844314,1.0
